"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","REG_SHO","Rule_3210","Country of Domicile","Company Name"
"ABKI","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ABAKAN INC","N","N","USA","Abakan, Inc."
"ABLE","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","ABLE ENERGY INC","N","N","USA","Able Energy, Inc."
"ABLT","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","AMERICAN BILTRITE INC","N","N","USA","American Biltrite, Inc."
"ABLYF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABLYNX NV ORD","N","N","","Ablynx NV"
"ABLZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABB LTD ZUERICH","N","N","Switzerland","ABB Ltd."
"ABMBF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","B","ABCOURT MINES INC B","N","N","Canada","Abcourt Mines Inc."
"ABMC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMER BIO MEDICA CORP","N","N","USA","American Bio Medica Corp."
"ABMLF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ALBEMARLE & BOND HLDGS A","N","N","","Albemarle & Bond Holdings Plc"
"ABMT","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ADVANCED BIOMEDICAL TECHS","N","N","USA","Advanced BioMedical Technologies, Inc."
"ABNAF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","ABEN RESOURCES LTD ORD","N","N","Canada","Aben Resources, Ltd."
"ABNC","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMER BANCORP INC LA","N","N","USA","American Bancorp, Inc."
"ABNK","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ALTAPACIFIC BANCORP","N","N","USA","AltaPacific Bancorp"
"ABOT","OTC Link","12/11/2013","OTC Pink Current","N","Common Stock","","ABOT MINING CO IDA CAP","N","N","USA","Abot Mining Co."
"ABPA","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","ALLEGIANCE BK OF N/A (PA)","N","N","USA","Allegiance Bank of North America (Bala Cynwyd, PA)"
"ABPI","OTC Link","12/11/2013","OTC Pink Limited","N","Common Stock","","ACCENTIA BIOPHARMS INC","N","N","USA","Accentia Biopharmaceuticals, Inc."
"ABPR","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AIRBORNE SEC & PROT SVCS","N","N","USA","Airborne Security & Protective Services, Inc."
"ABPTY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","ARAB POTASH CO ADR 144A","N","N","","Arab Potash Co., Ltd."
"ABPZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ARAB POTASH CO SP GDR S","N","N","","Arab Potash Co., Ltd."
"ABRDF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABERDEEN NEW THAI INVS TR","N","N","United Kingdom","Aberdeen New Thai Investment Trust plc"
"ABRTY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ABERTIS INFRSTRC UNSP/ADR","N","N","Spain","Abertis Infraestructuras SA"
"ABSCF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AB SCIENCE PARIS ORD","N","N","","AB Science, Paris"
"ABSOF","Grey Market","12/11/2013","Grey Market","N","Other Security Type","","ABS-CBN HLDGS DEP RCPT","N","N","","ABS-CBN Holdings Corp"
"ABSR","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","AMERICAN BUSINESS SVCS","N","N","USA","American Business Services Inc."
"ABSSF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AIRBOSS OF AMERICA CORP","N","N","Canada","AirBoss of America Corp."
"ABSTF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ABSOLUTE INVEST AG","N","N","","Absolute Invest AG"
"ABTBF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AB BIOTICS ORD","N","N","","AB Biotics"
"ABTO","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AB&T FINCL CORP (NC)","N","N","USA","AB&T Financial Corp. (NC)"
"ABTZY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ABOITIZ EQTY VNT UNSP/ADR","N","N","Philippines","Aboitiz Equity Ventures, Inc."
"ABWAF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ADITYA BIRLA MINERALS ORD","N","N","","Aditya Birla Minerals Ltd."
"ABWG","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","A B WATLEY GROUP INC","N","N","USA","A.B. Watley Group, Inc."
"ABYB","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMBOY BANCORPORATION","N","N","USA","Amboy Bancorporation"
"ABZPF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","ABOITIZ POWER CORP","N","N","Philippines","Aboitiz Power Corp."
"ABZPY","OTC Link","12/11/2013","OTC Pink Current","N","American Depository Receipts","","ABOITIZ POWER UNSP/ADR","N","N","Philippines","Aboitiz Power Corp."
"ABZT","Grey Market","12/11/2013","Grey Market","Y","Common Stock","","ABLAZE TECHNOLOGIES INC","N","N","","Ablaze Technologies, Inc."
"ABZUF","OTC Link","12/11/2013","OTC Pink Current","N","Ordinary Shares","","ABZU GOLD LTD ORD","N","N","Canada","Abzu Gold, Ltd."
"ACAL","OTC Link","12/11/2013","OTCQB","N","Common Stock","","AMERICA CALIFORNIA BK CA","N","N","USA","America California Bank (San Francisco, CA)"
"ACAR","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ACTIVECARE INC","N","N","USA","Activecare Inc."
"ACAZF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ACADIAN TIMBER CORP ORD","N","N","Canada","Acadian Timber Corp"
"ACBC","OTC Link/BB","12/11/2013","OTCQB","N","Common Stock","","ALBINA COMMUNITY BNCRP","N","N","USA","Albina Community Bancorp"
"ACBK","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","AMER CITY BK (LOS ANG CA)","N","N","","American City Bank (Los Angeles, CA)"
"ACCA","OTC Link","12/11/2013","OTCQB","N","Common Stock","","ACACIA DIVERSIFIED HLDGS","N","N","USA","Acacia Diversified Holdings, Inc."
"ACCCF","Grey Market","12/11/2013","Grey Market","N","Global Depository Receipts","","ACCTON TECH REG S GDR","N","N","China","Accton Technology Corp."
"ACCCY","Grey Market","12/11/2013","Grey Market","N","American Depository Receipts","","ACCTON TECH CORP GDR 144A","N","N","China","Accton Technology Corp."
"ACCDF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","ACENCIA DEBT STRATEGIES L","N","N","","Acencia Debt Strategies Ltd."
"ACCE","OTC Link","12/11/2013","OTC Pink No Information","N","Common Stock","","ACCRES HOLDING INC","N","N","USA","Accres Holding, Inc."
"ACCKF","Grey Market","12/11/2013","Grey Market","N","Ordinary Shares","","AMICA MATURE LIFSTYLS INC","N","N","Canada","Amica Mature Lifestyles Inc."
